"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 22 ending June 05, 2021"	"2021/22"	9554	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 23 ending June 12, 2021"	"2021/23"	9158	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 24 ending June 19, 2021"	"2021/24"	9148	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 25 ending June 26, 2021"	"2021/25"	9192	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 26 ending July 03, 2021"	"2021/26"	9376	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 27 ending July 10, 2021"	"2021/27"	9396	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 28 ending July 17, 2021"	"2021/28"	8995	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 29 ending July 24, 2021"	"2021/29"	9279	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 30 ending July 31, 2021"	"2021/30"	9255	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 31 ending August 07, 2021"	"2021/31"	9689	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 32 ending August 14, 2021"	"2021/32"	9861	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 33 ending August 21, 2021"	"2021/33"	9846	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 34 ending August 28, 2021"	"2021/34"	9968	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 35 ending September 04, 2021"	"2021/35"	10188	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 36 ending September 11, 2021"	"2021/36"	10362	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 37 ending September 18, 2021"	"2021/37"	10587	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 38 ending September 25, 2021"	"2021/38"	10487	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 39 ending October 02, 2021"	"2021/39"	10826	Not Applicable	Not Applicable
